No,DocId,key-phrases
1,18,"['Traffic volume estimation', 'Citywide Traffic Volume', 'citywide traffic', 'Traffic Volume', 'trajectory dataset']"
2,33,"['mobility data mining', 'human mobility data', 'Urban human mobility', 'mobility data', 'mobility data set']"
3,40,"['human mobility analysis', 'Human mobility pattern', 'mobility analysis', 'human mobility', 'mobility pattern']"
4,57,"['traffic flow forecasting', 'extreme learning machine', 'intelligent traffic management', 'flow forecasting', 'traffic management system']"
5,60,"['urban traffic management', 'Traffic light control', 'traffic light system', 'traffic management', 'urban traffic']"
6,65,"['social medium data', 'urban data analysis', 'urban data', 'probabilistic topic', 'mobility flow']"
7,82,"['crime prediction', 'Traditional crime prediction', 'crime prediction model', 'census feature', 'predictive feature']"
8,87,"['public transportation data', 'transportation data', 'visual analytics', 'public transport commuter', 'transport commuter']"
9,94,"['Smart city', 'urban governance', 'data dashboard', 'analytics infrastructure', 'city']"
10,116,"['pedestrian motion', 'pedestrian behavior', 'pedestrian crossing', 'crosswalk', 'pedestrian']"
11,118,"['travel behavior interpretation', 'Automated urban travel', 'urban travel interpretation', 'trajectory segmentation', 'travel mode detection']"
12,122,"['navigate intersection', 'automated vehicle', 'complex urban environment', 'scene decomposition', 'scene decomposition approach']"
13,133,"['traffic prediction', 'machine learning method', 'machine learning', 'traffic speed', 'forecasting']"
14,141,"['traffic forecast feature', 'traffic forecast', 'time traffic forecast', 'road traffic management', 'adaptive traffic control']"
15,158,"['road traffic prediction', 'traffic profiling', 'traffic congestion detection', 'Trajectory clustering', 'unsupervised incremental learning']"
16,161,"['transportation mode recognition', 'transportation mode information', 'deep learning method', 'deep learning', 'LSTM network']"
17,175,"['graph machine learning', 'Graph convolutional network', 'citation network', 'social network', 'graph machine']"
18,189,"['transportation mode classification', 'mode classification method', 'mode classification', 'different transportation mode', 'transportation mode']"
19,193,"['mobile phone activity', 'phone activity', 'land use classification', 'phone data', 'mobile phone data']"
20,205,"['traffic accident prediction', 'accident prediction', 'citywide traffic accident', 'traffic', 'traffic accident']"
21,207,"['intelligent transportation system', 'intelligent transportation', 'fuzzy reasoning', 'fuzzy logic', 'fuzzy reasoning scheme']"
22,210,"['traffic path', 'lighter traffic path', 'traffic condition', 'Deep neural network', 'Traffic grid']"
23,215,"['Intelligent driver assist', 'Intelligent driver', 'driver assist system', 'driver assist', 'driver assist device']"
24,225,"['traffic flow prediction', 'urban traffic flow', 'flow prediction', 'principal component analysis', 'traffic flow']"
25,236,"['urban freight transportation', 'freight transportation system', 'urban freight', 'friendly urban freight', 'genetic algorithm']"
26,240,"['vehicular data', 'interactive traffic control', 'vehicular traffic', 'traffic control system', 'Traffic control']"
27,260,"['mobility pattern discovery', 'big transit data', 'geovisual analytics', 'transit network data', 'transit mobility']"
28,261,"['railway safety', 'railway enable safety', 'big data', 'big data analysis', 'data mining']"
29,262,"['Enhanced urban clustering', 'urban clustering', 'online machine learning', 'clustering protocol', 'available clustering protocol']"
30,265,"['spatiotemporal pattern mining', 'city spatiotemporal pattern', 'tensor factorization', 'spatiotemporal data', 'matrix tensor factorization']"
31,270,"['activity prediction', 'prediction challenging', 'decision tree', 'prediction', 'prediction capability']"
32,288,"['traffic trajectory', 'clustering algorithm', 'traditional clustering algorithm', 'cognitive computing', 'traffic trajectory data']"
33,295,"['urban event cause', 'urban event', 'Crosstown traffic', 'event data', 'event impact']"
34,298,"['taxi demand', 'exploratory taxi fleet', 'city taxi service', 'exploratory taxi', 'city taxi']"
35,301,"['transportation data management', 'traffic sensor data', 'transportation network data', 'bus trajectory data', 'traffic incident data']"
36,302,"['destination prediction', 'next destination prediction', 'urban logistics system', 'next destination predictor', 'destination predictor']"
37,311,"['monitoring road traffic', 'urban traffic network', 'road traffic information', 'traffic network', 'traffic information collection']"
38,321,"['traffic control intelligence', 'whole traffic control', 'mixed traffic condition', 'regional traffic control', 'mixed traffic flow']"
39,334,"['GPS trajectory data', 'trajectory data', 'route recommendation', 'complex network analysis', 'complex network']"
40,335,"['electric taxi', 'traditional taxi', 'taxi', 'passenger service market', 'transportation congestion']"
41,339,"['urban prediction', 'urban prediction problem', 'autoencoders', 'biased data', 'heterogeneous datasets']"
