No,DocId,key-phrases
1,151,"['city culture', 'urban study', 'urban governance', 'city', 'Everyday milieux']"
2,236,"['cultural interaction', 'Russian student', 'social relation', 'cultural system', 'inter cultural dialogue']"
3,237,"['urbanised space', 'urbanised environment', 'Adaptable city', 'urban public space', 'contemporary city']"
4,271,"['tourism destination', 'tourist destination', 'urban design', 'tourism', 'proposed urban design']"
5,306,"['earthquake disaster prevention', 'disaster prevention awareness', 'disaster prevention', 'earthquake disaster', 'seismic culture']"
6,308,"['sustainable urban design', 'sustainable design assessment', 'urban design factor', 'main urban design', 'urban transformation']"
7,328,"['urbanity understood', 'new urbanity', 'everyday urbanism', 'cultural urban study', 'cultural urban']"
8,334,"['sustainable urban environment', 'urban environment', 'landscape design', 'sustainable environment', 'human environment']"
9,373,"['Indigenous knowledge refers', 'different indigenous knowledge', 'indigenous knowledge', 'source Indigenous knowledge', 'indigenous knowledge feature']"
10,380,"['Change management project', 'project management', 'management project', 'project manager', 'Change management']"
11,387,"['long beach', 'wide beach', 'Angeles basin', 'Los Angeles basin', 'beach']"
12,393,"['Tokyo life', 'contemporary urban life', 'urban life', 'recreation', 'outdoor recreation']"
