Cluster,Group,SubGroup,TitleWords,NumPhrases,Key-phrases,NumDocs,DocIds
2,-1,0,"['detection', 'change', 'disaster']",31,"['natural disaster detection', 'LULC change detection', 'composite change detection', 'change detection analysis', 'change detection algorithm', 'change detection', 'area change detection', 'natural disaster prediction', 'natural disaster evaluation', 'disaster risk management', 'disaster risk assessment', 'damage detection', 'small object', 'shape descriptor', 'segmentation approach', 'scene object', 'satellite image segmentation', 'pollutant concentration data', 'object', 'many visual descriptor', 'LULC classification', 'learning LU classification', 'LCLU classification', 'large earthquake', 'image segmentation optimization', 'hydrologic risk', 'flood loss assessment', 'descriptor extraction', 'appearance object', 'annual air pollution', 'air quality data']",29,"[37, 72, 96, 113, 119, 128, 137, 144, 165, 167, 186, 230, 259, 260, 283, 301, 374, 391, 393, 460, 473, 478, 496, 497, 525, 548, 557, 578, 590]"
2,-1,1,"['change', 'land', 'use']",20,"['land use change', 'use change modeling', 'land use evolution', 'land cover change', 'land change science', 'land change model', 'future land use', 'future land change', 'unchanged data', 'future land management', 'environmental change', 'cover change analysis', 'change modeling', 'terrain character', 'system adaptation planning', 'integrated model', 'facing sustainability threat', 'elevation model', 'elevation', 'ecosystem service']",20,"[9, 72, 120, 171, 225, 230, 316, 317, 374, 420, 426, 460, 464, 494, 524, 553, 569, 578, 589, 593]"
2,-1,2,"['classification', 'image', 'tree']",19,"['tree specie classification', 'RS image classification', 'OLI image classification', 'image classification task', 'image classification method', 'image classification approach', 'image classification', 'classification tree', 'specie classification', 'scene image classifier', 'scene classification task', 'regression tree', 'object classification result', 'decision tree', 'boosted regression tree', 'XGBoost algorithm', 'secondary task', 'classify LiDAR point', 'attention']",22,"[23, 92, 100, 129, 144, 162, 230, 231, 234, 254, 282, 285, 317, 320, 331, 344, 437, 475, 507, 570, 576, 590]"
2,-1,3,"['spatial', 'feature', 'information']",19,"['spatial feature', 'volunteered geographic information', 'spatiotemporal neighborhood feature', 'spatial transformation rule', 'spatial pattern', 'spatial characteristic', 'spatial attribute', 'spatial', 'location contextual information', 'geospatial variable', 'geospatial application', 'geographic information', 'feature importance', 'contextual feature', 'new GeoAI research', 'local contextual cue', 'GIS functionality', 'GIS approach', 'Geographic Information system']",18,"[6, 42, 46, 59, 100, 193, 245, 283, 310, 316, 393, 444, 515, 524, 548, 582, 593, 594]"
2,-1,4,"['land', 'use', 'ensemble']",16,"['land use dynamic', 'dynamic land use', 'accelerated land use', 'land expansion', 'hierarchical farmland', 'ensemble learning', 'ensemble classifier', 'croplands', 'precision agriculture', 'fractal net evolution', 'fish swarm algorithm', 'expansion cell', 'Ensemble method', 'cellular automaton model', 'cellular automaton', 'cellular automata']",15,"[90, 130, 182, 208, 245, 282, 317, 328, 348, 427, 436, 443, 475, 494, 563]"
2,-1,5,"['cloud', 'point', 'LiDAR']",16,"['urban point cloud', 'point cloud labelling', 'point cloud classification', 'LiDAR point cloud', 'cloud siamese network', 'cloud omission error', 'cloud mask', 'cloud coverage', 'cloud classification', 'airborne lidar', 'Riegl Terrestrial laser', 'LiDAR imagery', 'LiDAR data fusion', 'LiDAR data', 'DEM data', 'airborne LIDAR data']",17,"[9, 74, 89, 93, 118, 129, 236, 312, 327, 330, 418, 443, 478, 528, 557, 563, 592]"
2,-1,6,"['spatial', 'modeling', 'information']",16,"['spatial modeling', 'temporal information', 'Spatiotemporal modeling', 'spatial logistic regression', 'information entropy', 'time series', 'spatiotemporal uncertainty', 'significant accuracy', 'RMSE value', 'prediction error', 'overestimation', 'Logistic regression analysis', 'learned uncertainty estimate', 'GIS modelling', 'accurate prediction', 'accuracy']",15,"[128, 182, 183, 213, 225, 234, 237, 293, 299, 331, 420, 553, 570, 590, 594]"
2,-1,7,"['road', 'classification', 'detection']",15,"['road network detection', 'road edge detection', 'classification road extraction', 'road system', 'road infrastructure extraction', 'Road detection', 'natural feature detection', 'landcover classification', 'land use classification', 'land cover classification', 'infrastructure classification framework', 'edge detection', 'cover classification', 'Accurate road extraction', 'natural image field']",21,"[11, 37, 42, 46, 66, 78, 92, 96, 106, 118, 282, 289, 303, 361, 378, 391, 476, 507, 515, 559, 588]"
2,-1,8,"['urban', 'land', 'prediction']",13,"['urban land prediction', 'land price prediction', 'urban feature extraction', 'urban expansion trend', 'urban change detection', 'urban area extraction', 'predicted urban expansion', 'industrial land recognition', 'future urban extent', 'building size prediction', 'spatial trend', 'combinatory trend', 'building height']",14,"[93, 114, 171, 182, 259, 288, 310, 405, 436, 496, 509, 553, 570, 572]"
2,-1,9,"['network', 'deep', 'learning']",13,"['new deep learning', 'deep learning scheme', 'deep learning method', 'residual network', 'highway unit network', 'convolutional neural network', 'convolutional network', 'convolution neural network', 'basis function network', 'receptive field', 'CNNs parameter', 'CNN classification', 'CNN architecture']",18,"[16, 87, 137, 183, 188, 234, 301, 312, 314, 378, 398, 436, 462, 469, 479, 547, 548, 553]"
