Cluster,Parent,Group,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
-1,root_-1_-1,-1,37,"['spatial modeling approach', 'spatial dynamic model', 'soundscape classification model', 'quantitative spatial model', 'urban soundscape evaluation', 'soundscape recognition', 'reduced order modelling', 'promising model', 'predefined model', 'modeling technique', 'meta model', 'geospatial simulation framework', 'different spatial level', 'various regressors', 'urban sound recognition', 'UPM theory', 'synthetic minority', 'structural attribute', 'regression', 'performance simulation', 'noise annoyance assessment', 'mosquito development', 'layout synthesis', 'human physiological change', 'heterogeneity', 'geometric design feature', 'generative design', 'generative architectural', 'ethnic heterogeneity', 'effective mosquito control', 'discriminatory bias', 'Dengue disease dynamic', 'base regressors', 'audio event', 'audio data corpus', 'active ageing', 'acoustic environment']",28,"[1, 21, 33, 53, 54, 56, 64, 68, 70, 103, 109, 121, 173, 174, 179, 207, 250, 308, 332, 357, 381, 386, 408, 414, 442, 558, 564, 583]",0.9366000000000001,15,20,10
-1,root_-1_-1,0,30,"['urban data operationalization', 'urban data management', 'new urban data', 'big data application', 'big data', 'training data', 'microblogging data', 'design data', 'dataset', 'data', 'Big data analytics', 'word tree', 'web', 'thing system', 'SVM model', 'support vector machine', 'stacking ensemble model', 'speech recognition', 'new framework', 'natural language processing', 'MapReduce framework', 'Information System mapping', 'information system', 'human natural language', 'human annotation', 'ensemble learning', 'contextual information', 'computational linguistics', 'automatic sound recognizer', 'adaptive boosting']",29,"[54, 58, 64, 70, 75, 76, 103, 108, 109, 112, 148, 150, 151, 152, 179, 205, 207, 297, 332, 369, 385, 442, 487, 558, 564, 566, 580, 581, 583]",0.9366000000000001,15,20,10
-1,root_-1_-1,1,10,"['player personality behavior', 'player act', 'personality classification task', 'personality classification method', 'online educational game', 'exercise video game', 'educational game', 'different personality', 'skateboarding', 'parkour spot exploration']",4,"[98, 566, 580, 581]",0.9366000000000001,15,20,10
-1,root_-1_0,-1,8,"['cognitive smart city', 'smart city logistics', 'smart city initiative', 'smart city development', 'smart city', 'Korean smart city', 'cognitive city', 'Smart sustainable city']",9,"[61, 70, 76, 148, 150, 151, 152, 308, 532]",0.9978,25,15,16
-1,root_-1_0,0,16,"['urban energy planning', 'energy consumption prediction', 'energy consumption', 'Building energy consumption', 'sustainable urbanisation strategy', 'Sustainable urban governance', 'sustainable urban development', 'strategic sustainable energy', 'power consumption', 'electricity consumption data', 'digital urban governance', 'nexus governance debate', 'Energy Information', 'electric load forecasting', 'basin governance', 'annual heating demand']",14,"[40, 64, 68, 70, 143, 150, 151, 152, 179, 199, 207, 297, 308, 442]",0.9978,25,15,16
-1,root_-1_0,1,16,"['crime prediction', 'crime analysis', 'urban prediction', 'Spatial crime simulation', 'social network analysis', 'prediction', 'hot spot analysis', 'height prediction', 'crime forecasting', 'crime distribution map', 'crime data', 'wearable fall detection', 'offender agent', 'judicial administration', 'human fall', 'collusion occurrence probability']",11,"[1, 47, 67, 132, 174, 199, 369, 377, 442, 487, 541]",0.9978,25,15,16
-1,root_-1_1,-1,12,"['feature selection technique', 'machine learning technique', 'intelligent decision support', 'image processing technique', 'feature selection', 'exogenous feature', 'decision making', 'artificial intelligence technique', 'fuzzy set', 'constructive preference elicitation', 'bidding procedure', 'artificial intelligence approach']",10,"[36, 58, 88, 174, 250, 354, 377, 381, 399, 414]",0.9409000000000001,35,10,11
-1,root_-1_1,0,32,"['deep neural network', 'recurrent neural network', 'neural network algorithm', 'GAN neural network', 'detection neural network', 'Artificial neural network', 'layer deep', 'deep reinforcement', 'deep learning algorithms', 'deep learning', 'convolutional network architecture', 'training spot detector', 'Spatial clustering', 'shared idea', 'saliency map', 'optimization theory', 'multiscale clustering', 'machine learning algorithms', 'machine learning', 'Machine', 'LudoVico UX machine', 'latent manifold', 'knowledge spillover', 'KNN algorithm', 'interactive machine learning', 'Intelligence augmentation', 'counting', 'conventional counting', 'collaborative chat', 'autoencoders', 'algorithm', 'agglomerative clustering']",34,"[33, 36, 47, 54, 58, 61, 67, 75, 76, 88, 98, 103, 108, 112, 121, 132, 152, 173, 174, 205, 250, 266, 297, 308, 354, 377, 385, 386, 390, 399, 408, 532, 568, 581]",0.9409000000000001,35,10,11
-1,root_-1_1,1,11,"['automated classification', 'naïve Bayes classifier', 'classifier', 'classification accuracy', 'automatic classification', 'automated detection student', 'reviewed ML method', 'random forest', 'novel data mining', 'image retrieval', 'descriptor']",11,"[21, 53, 56, 88, 121, 143, 558, 564, 566, 568, 580]",0.9409000000000001,35,10,11
-1,root_0_-1,-1,36,"['urban building', 'building reconstruction', 'urban waterlogging', 'urban technology', 'urban resilience', 'urban infrastructure category', 'technical construction', 'simplified urban setup', 'road construction sector', 'generative urban network', 'construction technique', 'complex urban environment', 'building', 'artificial urban modeling', 'aggregated building', 'user experience design', 'street view', 'socioeconomic variable', 'road traffic image', 'Resilient structural system', 'residential stability', 'real estate market', 'multiple infrastructure system', 'Livelihood orientation', 'land readjustment', 'intercity corporate network', 'hedonic price model', 'furniture', 'flood disaster spread', 'economic agenda', 'designer interact', 'climate variable', 'climate resilience', 'climate prediction', 'city pattern image', 'city modelling']",29,"[1, 12, 21, 36, 40, 53, 56, 58, 75, 103, 108, 109, 112, 132, 151, 166, 199, 205, 207, 250, 266, 275, 357, 377, 385, 390, 408, 414, 532]",-1.0,30,50,30
