Group,score,NumPhrases,Key-phrases,NumDocs,DocIds
1,0.7795871851,11,"['agglomerative clustering', 'density estimation', 'inner area strategy', 'latent manifold', 'neighbourhood densification', 'positioning accuracy', 'self organising map', 'sourced urban data and machine learning algorithms', 'spatial analysis and machine learning', 'spatial lag term', 'spatial plan']",10,"[1, 21, 33, 58, 68, 88, 166, 173, 205, 246]"
2,0.6338113860000001,19,"['building structure', 'City factor', 'city pattern image', 'cognitive city', 'complex urban environment', 'comprehensive urban soundscape evaluation', 'German residential area', 'graffiti and restaurant', 'housing unit', 'Metropolitan Manila', 'military operation', 'nearby crime and violence', 'relevant socioeconomic variable', 'typical urban coverage condition', 'unstructured mesh', 'urban area', 'urban environment', 'urban morphological difference', 'urban waterlogging']",17,"[1, 12, 21, 36, 53, 56, 58, 68, 109, 112, 121, 148, 246, 369, 386, 399, 564]"
3,0.5975767071,19,"['architect and designer', 'classical urban design theory', 'greenway planning', 'intercity corporate network', 'nexus governance debate', 'regional policy evaluation study', 'researcher and city developer', 'sustainable city leverage datadriven planning technology', 'sustainable urban development and Internet', 'sustainable urbanisation strategy', 'urban and smart city development', 'urban planning', 'urban planning and climate resilience', 'urban planning and crowd surveillance', 'urban planning and land readjustment policy', 'urban planning and management', 'urban planning authority', 'urban transport planning', 'water and basin governance']",17,"[21, 36, 58, 61, 68, 88, 109, 150, 166, 173, 199, 205, 250, 414, 564, 568, 580]"
4,0.5950731748,8,"['climate pressure', 'connectedness and scale', 'geographical information system', 'geographical space and territory', 'geospatial simulation framework', 'landscape and climate variable', 'OpenStreetMap data', 'urban environment influence stress']",8,"[21, 33, 56, 68, 166, 173, 205, 399]"
5,0.5942053475,16,"['Decision Tree', 'ensemble learning approach', 'image descriptor', 'Naive Bayes', 'Naïve Bayes', 'naïve Bayes classifier', 'Principal component analysis', 'Proper Orthogonal Decomposition', 'random forest', 'random forest algorithm', 'random forest MLA', 'supervised archetype classification', 'Support vector machine SVM', 'support vector regression', 'SVM model', 'synthetic minority']",16,"[33, 36, 53, 56, 64, 68, 88, 109, 112, 332, 369, 386, 564, 566, 568, 580]"
6,0.5532830649,30,"['AI system', 'constructive preference elicitation task', 'conventional counting', 'conventional statistical modeling approach', 'conversational demand', 'creative computing approach', 'criteria nature', 'design preference', 'hot spot analysis', 'Human Computer Interaction', 'Intelligent Tutoring Systems', 'knowledge spillover', 'mathematical fusion model', 'mobile application', 'natural language processing approach', 'novel computational linguistics method', 'novel natural language processing component', 'online educational game', 'order modelling', 'party collaborative chat', 'personality classification task', 'player and mentor', 'reference framework', 'several processing system', 'short time analysis', 'smart specialization', 'social network analysis', 'standardized and open ML pipeline', 'Support Systems', 'urgent challenge']",19,"[56, 88, 112, 121, 148, 166, 173, 199, 246, 250, 369, 386, 399, 414, 558, 566, 568, 580, 581]"
7,0.3374644245,14,"['active ageing', 'audio descriptor', 'chat conversation', 'energy and food', 'flow', 'human environment', 'Livelihood orientation', 'motor vehicle', 'serious game', 'soundscape classification', 'speaker', 'structure and material', 'urban sound recognition performance', 'visual element']",11,"[12, 33, 53, 61, 199, 250, 369, 558, 564, 566, 580]"
8,0.26746236100000004,14,"['BeiDou and Galileo satellite navigation system', 'big data', 'big data application', 'citizen science data', 'cognitive smart city', 'crowd analysis benchmark datasets', 'expensive and laborious traffic count', 'false alarm rate', 'GNSS signal', 'intelligent transportation', 'IoT service', 'theft rate', 'Unmanned Aircraft Systems', 'year microblogging data']",10,"[12, 36, 109, 112, 121, 150, 246, 332, 369, 568]"
9,0.061021412000000004,16,"['Deep Learning', 'deep reinforcement learning', 'DT and AdaBoost', 'intelligent decision support system', 'interpolation method', 'intrusion detection method', 'KNN algorithm', 'LSTM SAE', 'Machine learning', 'Machine learning model', 'machine learning technique', 'personality classification method', 'popular ML algorithms', 'recurrent neural network', 'Sequential Minimal Optimization', 'Things sensor']",14,"[1, 53, 58, 61, 64, 88, 112, 121, 150, 250, 332, 399, 564, 566]"
10,-0.2232599318,15,"['air pollution quality prediction', 'demand matrix', 'destination accessibility', 'effective mosquito control', 'Electricity theft', 'ethnic heterogeneity and employment', 'furniture arrangement', 'Large Eddy Simulation', 'Layout synthesis', 'mosquito occurrence', 'scenario simulation', 'systematic literature review', 'Systematics Literature Review', 'Unanticipated wind gust', 'understanding research priority']",14,"[1, 12, 36, 56, 61, 64, 109, 121, 148, 166, 199, 205, 386, 414]"
