Group,score,TopicWords,NumPhrases,Key-phrases,NumDocs,DocIds,dimension,min_samples,min_cluster_size,x,y
1,0.7795871851,"['spatial', 'machine', 'agglomerative clustering', 'density estimation', 'area strategy']",11,"['agglomerative clustering', 'density estimation', 'inner area strategy', 'latent manifold', 'neighbourhood densification', 'positioning accuracy', 'self organising map', 'sourced urban data and machine learning algorithms', 'spatial analysis and machine learning', 'spatial lag term', 'spatial plan']",10,"[1, 21, 33, 58, 68, 88, 166, 173, 205, 246]",50,2,11,"[6.3800001144, 6.4899997711, 6.5599999428, 6.5500001907000005, 6.4200000763, 6.4800000191, 6.4499998093, 6.4099998474, 6.4299998283, 6.4400000572, 6.3400001526]","[6.5700001717, 6.3899998665, 6.4600000381000005, 6.3699998856, 6.3600001335, 6.3499999046, 6.2899999618999995, 6.5100002289, 6.4800000191, 6.1900000572, 6.5500001907000005]"
2,0.6338113860000001,"['urban', 'city', 'area', 'building structure', 'graffiti restaurant']",19,"['building structure', 'City factor', 'city pattern image', 'cognitive city', 'complex urban environment', 'comprehensive urban soundscape evaluation', 'German residential area', 'graffiti and restaurant', 'housing unit', 'Metropolitan Manila', 'military operation', 'nearby crime and violence', 'relevant socioeconomic variable', 'typical urban coverage condition', 'unstructured mesh', 'urban area', 'urban environment', 'urban morphological difference', 'urban waterlogging']",17,"[1, 12, 21, 36, 53, 56, 58, 68, 109, 112, 121, 148, 246, 369, 386, 399, 564]",28,2,19,"[3.0499999523, 2.9100000858, 3.1600000858, 2.9400000572, 2.8299999237, 3.1300001144, 2.9700000286, 2.6900000572, 2.9800000191000002, 2.7400000095, 3.0099999905, 3.2899999619, 2.7400000095, 3.0799999237, 2.9900000095, 3.0, 2.5799999237, 2.8699998856, 2.9100000858]","[3.0399999619, 2.9900000095, 3.1700000763, 2.9400000572, 3.2799999714, 3.0399999619, 3.1300001144, 3.0799999237, 2.8199999332, 3.1099998951, 2.9600000381, 3.0699999332, 3.2300000191000002, 3.1900000572, 3.0499999523, 3.0699999332, 3.1500000954, 2.9900000095, 3.2300000191000002]"
3,0.5975767071,"['urban', 'planning', 'city', 'sustainable', 'governance']",19,"['architect and designer', 'classical urban design theory', 'greenway planning', 'intercity corporate network', 'nexus governance debate', 'regional policy evaluation study', 'researcher and city developer', 'sustainable city leverage datadriven planning technology', 'sustainable urban development and Internet', 'sustainable urbanisation strategy', 'urban and smart city development', 'urban planning', 'urban planning and climate resilience', 'urban planning and crowd surveillance', 'urban planning and land readjustment policy', 'urban planning and management', 'urban planning authority', 'urban transport planning', 'water and basin governance']",17,"[21, 36, 58, 61, 68, 88, 109, 150, 166, 173, 199, 205, 250, 414, 564, 568, 580]",28,2,19,"[2.2400000095, 2.4500000477, 2.75, 2.8099999428, 2.5199999808999998, 2.5099999905, 2.5599999428, 2.6199998856, 2.7100000381, 2.3399999142, 2.1900000572, 2.1099998951, 2.3199999332, 2.5, 2.5799999237, 2.6099998951, 2.5799999237, 2.4500000477, 2.6300001144]","[3.2100000381, 3.25, 3.0899999142, 3.0899999142, 3.25, 3.0799999237, 3.1600000858, 3.3399999142, 3.1800000668, 3.2899999619, 3.1099998951, 3.2200000286, 3.1800000668, 3.3599998951, 3.1900000572, 3.0499999523, 3.1500000954, 3.0299999714, 3.0199999809]"
4,0.5950731748,"['climate', 'geographical', 'connectedness scale', 'simulation framework', 'openstreetmap data']",8,"['climate pressure', 'connectedness and scale', 'geographical information system', 'geographical space and territory', 'geospatial simulation framework', 'landscape and climate variable', 'OpenStreetMap data', 'urban environment influence stress']",8,"[21, 33, 56, 68, 166, 173, 205, 399]",28,2,19,"[2.6500000954000003, 2.9200000763, 2.3599998951, 2.4300000668, 2.3499999046, 2.3900001049, 2.3699998856, 2.5]","[2.9900000095, 3.3399999142, 3.3499999046, 3.1900000572, 3.3900001049, 3.1300001144, 3.0699999332, 3.1900000572]"
5,0.5942053475,"['bayes', 'random', 'support', 'decision tree', 'learning approach']",16,"['Decision Tree', 'ensemble learning approach', 'image descriptor', 'Naive Bayes', 'Naïve Bayes', 'naïve Bayes classifier', 'Principal component analysis', 'Proper Orthogonal Decomposition', 'random forest', 'random forest algorithm', 'random forest MLA', 'supervised archetype classification', 'Support vector machine SVM', 'support vector regression', 'SVM model', 'synthetic minority']",16,"[33, 36, 53, 56, 64, 68, 88, 109, 112, 332, 369, 386, 564, 566, 568, 580]",14,2,16,"[7.3200001717, 7.2100000381000005, 7.7600002289, 7.6399998665, 7.4299998283, 7.3000001907, 7.2600002289, 7.4600000381000005, 7.4600000381000005, 7.4600000381000005, 7.2899999618999995, 7.2399997711, 7.2100000381000005, 7.3899998665, 7.3099999428, 7.4099998474]","[7.7899999618999995, 7.7800002098, 8.0, 7.6900000572, 7.7600002289, 7.5399999618999995, 7.7199997902, 7.8200001717, 7.4499998093, 7.8000001907000005, 8.0399999619, 7.6399998665, 7.9400000572, 7.6399998665, 7.9600000381000005, 7.7300000191]"
6,0.5532830649,"['approach', 'analysis', 'processing', 'system', 'preference']",30,"['AI system', 'constructive preference elicitation task', 'conventional counting', 'conventional statistical modeling approach', 'conversational demand', 'creative computing approach', 'criteria nature', 'design preference', 'hot spot analysis', 'Human Computer Interaction', 'Intelligent Tutoring Systems', 'knowledge spillover', 'mathematical fusion model', 'mobile application', 'natural language processing approach', 'novel computational linguistics method', 'novel natural language processing component', 'online educational game', 'order modelling', 'party collaborative chat', 'personality classification task', 'player and mentor', 'reference framework', 'several processing system', 'short time analysis', 'smart specialization', 'social network analysis', 'standardized and open ML pipeline', 'Support Systems', 'urgent challenge']",19,"[56, 88, 112, 121, 148, 166, 173, 199, 246, 250, 369, 386, 399, 414, 558, 566, 568, 580, 581]",14,2,16,"[7.3499999046, 7.1399998665, 7.4000000954, 7.0300002098, 7.4699997902, 7.5, 7.1599998474, 7.4099998474, 7.0900001526, 7.3499999046, 7.6799998283, 7.1999998093, 7.4200000763, 7.6700000763, 7.1199998856, 7.4400000572, 7.1700000763, 7.1799998283, 7.5300002098, 7.4200000763, 7.5399999618999995, 7.5900001526, 7.3699998856, 7.3200001717, 7.4899997711, 7.5199999809, 7.5100002289, 7.5100002289, 7.5500001907000005, 7.3000001907]","[8.0500001907, 7.7399997711, 7.5999999046, 7.6799998283, 8.3900003433, 8.4200000763, 7.8600001335, 8.2100000381, 7.6799998283, 7.7300000191, 7.7699999809, 8.0, 8.2899999619, 7.7600002289, 8.0100002289, 8.279999733, 7.8299999237, 8.0399999619, 7.5599999428, 8.2100000381, 8.1099996567, 7.9699997902, 7.9400000572, 7.5399999618999995, 7.7100000381000005, 7.9299998283, 7.6799998283, 7.8499999046, 8.1000003815, 7.8800001144]"
7,0.3374644245,"['active ageing', 'audio descriptor', 'chat conversation', 'energy food', 'human environment']",14,"['active ageing', 'audio descriptor', 'chat conversation', 'energy and food', 'flow', 'human environment', 'Livelihood orientation', 'motor vehicle', 'serious game', 'soundscape classification', 'speaker', 'structure and material', 'urban sound recognition performance', 'visual element']",11,"[12, 33, 53, 61, 199, 250, 369, 558, 564, 566, 580]",50,2,11,"[6.3699998856, 6.3299999237, 6.3299999237, 6.25, 6.2399997711, 6.2399997711, 6.1599998474, 6.2300000191, 6.4499998093, 6.4400000572, 6.4099998474, 6.4800000191, 6.3699998856, 6.3699998856]","[6.2699999809, 6.1399998665, 6.3099999428, 6.2199997902, 6.1399998665, 6.1799998283, 6.1199998856, 6.2399997711, 6.25, 6.3000001907, 6.2699999809, 6.3000001907, 6.2399997711, 6.25]"
8,0.26746236100000004,"['data', 'rate', 'navigation system', 'smart city', 'traffic count']",14,"['BeiDou and Galileo satellite navigation system', 'big data', 'big data application', 'citizen science data', 'cognitive smart city', 'crowd analysis benchmark datasets', 'expensive and laborious traffic count', 'false alarm rate', 'GNSS signal', 'intelligent transportation', 'IoT service', 'theft rate', 'Unmanned Aircraft Systems', 'year microblogging data']",10,"[12, 36, 109, 112, 121, 150, 246, 332, 369, 568]",50,2,11,"[6.3499999046, 6.1999998093, 6.3499999046, 6.2600002289, 6.2600002289, 6.3800001144, 6.3699998856, 6.3699998856, 6.3600001335, 6.3200001717, 6.1500000954, 6.0999999046, 6.2800002098, 6.3200001717]","[6.4400000572, 6.1100001335, 6.0100002289, 6.0199999809, 5.9899997711, 6.2300000191, 6.1100001335, 6.5, 6.5, 6.2199997902, 6.1999998093, 6.1599998474, 6.0599999428, 6.3099999428]"
9,0.061021412000000004,"['learning', 'method', 'dt adaboost', 'support system', 'knn algorithm']",16,"['Deep Learning', 'deep reinforcement learning', 'DT and AdaBoost', 'intelligent decision support system', 'interpolation method', 'intrusion detection method', 'KNN algorithm', 'LSTM SAE', 'Machine learning', 'Machine learning model', 'machine learning technique', 'personality classification method', 'popular ML algorithms', 'recurrent neural network', 'Sequential Minimal Optimization', 'Things sensor']",14,"[1, 53, 58, 61, 64, 88, 112, 121, 150, 250, 332, 399, 564, 566]",14,2,16,"[7.3499999046, 7.1399998665, 7.5599999428, 7.3600001335, 7.3699998856, 7.6599998474, 7.4099998474, 7.5900001526, 7.4200000763, 7.3600001335, 7.4600000381000005, 7.6100001335, 7.6199998856, 7.3000001907, 7.2399997711, 7.3200001717]","[8.4899997711, 7.8099999428, 8.4200000763, 7.2800002098, 7.7800002098, 8.25, 7.5700001717, 8.279999733, 7.5500001907000005, 8.0900001526, 8.3800001144, 8.0900001526, 8.2100000381, 7.6999998093, 7.7800002098, 7.6900000572]"
10,-0.2232599318,"['literature review', 'mosquito', 'simulation', 'quality prediction', 'demand matrix']",15,"['air pollution quality prediction', 'demand matrix', 'destination accessibility', 'effective mosquito control', 'Electricity theft', 'ethnic heterogeneity and employment', 'furniture arrangement', 'Large Eddy Simulation', 'Layout synthesis', 'mosquito occurrence', 'scenario simulation', 'systematic literature review', 'Systematics Literature Review', 'Unanticipated wind gust', 'understanding research priority']",14,"[1, 12, 36, 56, 61, 64, 109, 121, 148, 166, 199, 205, 386, 414]",50,2,11,"[6.1599998474, 6.3099999428, 6.3000001907, 6.1900000572, 6.2199997902, 6.4000000954, 6.1199998856, 6.2199997902, 6.25, 6.1500000954, 6.1599998474, 6.1700000763, 6.3200001717, 6.3400001526, 6.2600002289]","[6.0700001717, 6.2899999618999995, 6.3000001907, 6.3000001907, 6.3000001907, 6.2199997902, 6.1999998093, 6.2399997711, 6.3699998856, 6.1599998474, 6.1999998093, 6.1700000763, 6.3899998665, 6.4099998474, 6.4099998474]"
