No,DocId,key-phrases
1,91,"['walled city', 'heritage building', 'heritage', 'local economy', 'building']"
2,103,"['Arab culture', 'traditional settlement', 'traditional community', 'genealogical tree', 'genealogy']"
3,121,"['urban sustainable structure', 'historic Islamic city', 'Islamic city', 'sustainable vernacular city', 'urban structure']"
4,205,"['sustainable traditional market', 'cultural sustainable market', 'sustainable market', 'Traditional market', 'Nowadays sustainable development']"
5,246,"['vibrant city', 'talaat harb street', 'rich urban culture', 'urban culture', 'revitalization']"
6,249,"['typological analysis method', 'Typology method', 'typology', 'Typological Analysis', 'city identity']"
7,251,"['urban land use', 'urban land', 'pedestrianization', 'land use', 'land value']"
8,273,"['traditional Anatolian citadel', 'Anatolian citadel', 'traditional urban form', 'architectural form', 'urban design']"
9,278,"['urban morphology', 'cultural heritage district', 'heritage district', 'urban design enhancement', 'historic preservation']"
10,290,"['urban planning', 'urban planning rule', 'fortified village', 'local governance', 'Gouvernance locale et']"
11,313,"['traditional city', 'urban form configuration', 'urban form', 'Kurdish city', 'city']"
12,334,"['Architectural conservation', 'architectural heritage', 'local architectural heritage', 'architecture', 'cultural identity']"
13,360,"['Modern house type', 'traditional house type', 'house improvement', 'traditional house', 'house improvement process']"
14,366,"['architectural style', 'Persian community', 'people culture', 'style', 'art']"
15,367,"['Islamic world', 'architectural work', 'Iranian nation', 'early seventh century', 'housing']"
16,379,"['urban transformation', 'implemented urban transformation', 'urban transformation implementation', 'urban transformation project', 'urban transformation policy']"
17,381,"['Arabian Gulf city', 'Gulf city', 'urban identity', 'Bahrain', 'urban healing agenda']"
18,403,"['geomatics technologiesin relation', 'geomatics', 'Applied geomatics', 'cartographic information', 'cartographic data']"
19,409,"['satellite image processing', 'geomatics technology', 'cartographic data base', 'satellite image', 'landuse map']"
20,412,"['civil engineering history', 'civil engineer construct', 'century suspension bridge', 'meter bridge', 'suspension bridge']"
21,425,"['housing pattern', 'Housing provision', 'Housing provision mechanism', 'ismailia project', 'new development scheme']"
