No,DocId,key-phrases
1,21,"['cultural ecosystem', 'contemporary cultural ecosystem', 'cultural ecosystem service', 'cultural heritage', 'coastal mangrove forest']"
2,26,"['Chinatown landscape', 'urban renewal', 'housing landscape', 'landscape meaning', 'landscape reality']"
3,31,"['Singapore River waterfront', 'urban reclamation', 'Waterfront development', 'redevelopment', 'Derelict waterfront']"
4,44,"['Singapore River development', 'global urbanism', 'Singapore River landscape', 'acclaimed waterfront', 'Singapore experience']"
5,61,"['event management profession', 'event industry', 'festival tourism', 'festival environment', 'international festival environment']"
6,88,"['urban architecture', 'Chinese architecture', 'urban design', 'modern city making', 'urban development']"
7,126,['abstract']
8,132,"['favela Morro da', 'favelas', 'favela', 'Urban afforestation', 'urbanized area']"
9,159,"['wood construction', 'wood construction field', 'totora productivity', 'construction material', 'wood']"
10,194,"['Vernacular architecture', 'Modernist high rise', 'high rise housing', 'housing development', 'Singaporean society']"
11,216,"['pier waterfront redevelopment', 'waterfront redevelopment', 'Swettenham pier waterfront', 'Swettenham pier', 'pier waterfront']"
12,235,"['contemporary Thai youth', 'Thai youth', 'young Thai people', 'youth subculture', 'conspicuous youth subculture']"
13,287,"['heritage management', 'intangible heritage perspective', 'heritage perspective', 'heritage element', 'World Heritage Convention']"
14,293,"['bamboo fishing raft', 'sustainable tourism', 'Songkram river', 'Architecture', 'local fishery raft']"
15,300,"['Ecotourism', 'tourism', 'Castro da', 'Celtic culture', 'heritage']"
16,305,"['Chilean architect', 'Architectural culture', 'modern architecture', 'architectural competition', 'global heritage']"
17,316,"['sustainable floating village', 'sustainable floating community', 'floating village', 'ecotourism development', 'tourism development']"
18,387,"['long beach', 'wide beach', 'Angeles basin', 'Los Angeles basin', 'beach']"
