No,DocId,key-phrases
1,42,"['public transport', 'private transport', 'private transport service', 'transport need', 'transport']"
2,47,"['urban design', 'urban environment', 'careful traffic', 'traffic behaviour', 'traffic infrastructure']"
3,61,"['car culture', 'modern automobile', 'car design', 'urban road environment', 'automobile']"
4,66,"['access public transport', 'daily walking', 'active transportation', 'motorised transport', 'walking']"
5,93,"['sustainable transportation', 'unsustainable transportation', 'intercity public transportation', 'electric vehicle', 'transportation']"
6,130,"['road safety disparity', 'international road safety', 'road safety', 'recent road safety', 'road safety example']"
7,132,"['bicycle sharing', 'bikeshare', 'support bikeshare', 'public bicycle', 'support bikeshare implementation']"
8,189,"['sustainable active mobility', 'sustainable mobility', 'walking mindset', 'walking culture', 'active mobility']"
9,193,"['international walkability research', 'walkability research', 'walkability research agenda', 'fivefold international walkability', 'walkability']"
10,208,"['traffic simulation', 'pedestrian movement', 'traffic flow', 'Simulated people', 'Smart city']"
11,310,"['transit service', 'transportation system', 'transportation system design', 'bikeways', 'transit']"
12,322,"['traffic safety culture', 'road traffic safety', 'traffic safety', 'traffic psychology', 'safety culture']"
13,329,"['everyday mobility', 'urban planning', 'healthy mobility', 'urban space', 'mobility culture']"
14,332,"['urban form', 'neighborhood type', 'neighborhood', 'bike lane', 'similar neighborhood']"
15,346,"['everyday urban function', 'urbanity', 'place theory', 'modality place', 'bicycle movement infrastructure']"
16,373,"['transit infrastructure', 'urban mass transit', 'mass transit', 'TOD design', 'urban land utilization']"
17,409,"['sustainable mobility strategy', 'sustainable neighbourhood road', 'urban mobility', 'sustainable neighbourhood street', 'street mobility']"
18,431,"['carpooling ecosystem', 'efficient carpooling ecosystem', 'efficient carpooling', 'carpooling', 'mobile application']"
19,552,"['urban rail corridor', 'urban rail', 'Several commuter rail', 'rail corridor', 'commuter rail']"
20,565,"['system integration', 'ATS system', 'transit industry', 'APM ATS system', 'ATS major subsystem']"
21,599,"['urban sprawl', 'urban infrastructure', 'urban area', 'new transportation access', 'urban infill']"
