Cluster,Parent,Group,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
2,root_-1_-1_-1,-1,31,"['natural disaster detection', 'LULC change detection', 'composite change detection', 'change detection analysis', 'change detection algorithm', 'change detection', 'area change detection', 'natural disaster prediction', 'natural disaster evaluation', 'disaster risk management', 'disaster risk assessment', 'damage detection', 'small object', 'shape descriptor', 'segmentation approach', 'scene object', 'satellite image segmentation', 'pollutant concentration data', 'object', 'many visual descriptor', 'LULC classification', 'learning LU classification', 'LCLU classification', 'large earthquake', 'image segmentation optimization', 'hydrologic risk', 'flood loss assessment', 'descriptor extraction', 'appearance object', 'annual air pollution', 'air quality data']",29,"[37, 72, 96, 113, 119, 128, 137, 144, 165, 167, 186, 230, 259, 260, 283, 301, 374, 391, 393, 460, 473, 478, 496, 497, 525, 548, 557, 578, 590]",-1.0,25,50,30
2,root_-1_-1_0,-1,4,"['abundant spectral signature', 'wave signature', 'spectral information', 'optical data']",4,"[169, 282, 462, 476]",0.9769000000000001,5,10,12
2,root_-1_-1_0,0,16,"['urban point cloud', 'point cloud labelling', 'point cloud classification', 'LiDAR point cloud', 'cloud siamese network', 'cloud omission error', 'cloud mask', 'cloud coverage', 'cloud classification', 'airborne lidar', 'Riegl Terrestrial laser', 'LiDAR imagery', 'LiDAR data fusion', 'LiDAR data', 'DEM data', 'airborne LIDAR data']",17,"[9, 74, 89, 93, 118, 129, 236, 312, 327, 330, 418, 443, 478, 528, 557, 563, 592]",0.9769000000000001,5,10,12
2,root_-1_-1_0,1,12,"['resolution multispectral data', 'multispectral data', 'multispectral satellite image', 'multispectral image', 'LandUse data set', 'Landsat data stack', 'Landsat data', 'multitemporal satellite image', 'Landsat satellite imagery', 'Landsat imagery archive', 'Landsat imagery', 'Landsat image']",12,"[165, 167, 231, 254, 283, 374, 391, 475, 497, 547, 572, 578]",0.9769000000000001,5,10,12
2,root_-1_0_-1,-1,4,"['Road centerline extraction', 'Multiscale road centerline', 'centerline extraction method', 'contour extraction']",4,"[289, 378, 443, 463]",0.9817,20,5,10
2,root_-1_0_-1,0,11,"['fast building detection', 'building extraction method', 'building extraction accuracy', 'building extraction', 'building detection', 'building change detection', 'Automatic building extraction', 'automatic building detection', 'unreinforced masonry building', 'detected building', 'extracted knowledge']",13,"[23, 87, 106, 137, 141, 153, 161, 418, 463, 525, 547, 557, 593]",0.9817,20,5,10
2,root_-1_0_-1,1,10,"['vehicle detection', 'multiscale rapid detection', 'single vehicle extraction', 'shadow detection', 'Precise object detection', 'object detection method', 'multiscale prediction', 'multiscale Gabor filter', 'multiscale feature', 'light detection']",10,"[8, 16, 128, 161, 226, 237, 378, 460, 469, 563]",0.9817,20,5,10
2,root_-1_0_-1,2,15,"['road network detection', 'road edge detection', 'classification road extraction', 'road system', 'road infrastructure extraction', 'Road detection', 'natural feature detection', 'landcover classification', 'land use classification', 'land cover classification', 'infrastructure classification framework', 'edge detection', 'cover classification', 'Accurate road extraction', 'natural image field']",21,"[11, 37, 42, 46, 66, 78, 92, 96, 106, 118, 282, 289, 303, 361, 378, 391, 476, 507, 515, 559, 588]",0.9817,20,5,10
2,root_-1_0_1,-1,7,"['nonlinear feature space', 'multiple feature space', 'feature fusion', 'new data fusion', 'hierarchic feature representation', 'data fusion', 'integrated monitoring']",9,"[16, 46, 129, 158, 162, 226, 427, 479, 496]",0.9965,30,10,11
2,root_-1_0_1,0,20,"['land use change', 'use change modeling', 'land use evolution', 'land cover change', 'land change science', 'land change model', 'future land use', 'future land change', 'unchanged data', 'future land management', 'environmental change', 'cover change analysis', 'change modeling', 'terrain character', 'system adaptation planning', 'integrated model', 'facing sustainability threat', 'elevation model', 'elevation', 'ecosystem service']",20,"[9, 72, 120, 171, 225, 230, 316, 317, 374, 420, 426, 460, 464, 494, 524, 553, 569, 578, 589, 593]",0.9965,30,10,11
2,root_-1_0_1,1,11,"['transition map', 'mapping', 'automatic mapping', 'USI map', 'transition rule mining', 'map', 'digital map', 'complex map production', 'change map', 'Systematic data mining', 'site transformation']",11,"[78, 158, 225, 328, 352, 436, 473, 515, 554, 559, 588]",0.9965,30,10,11
2,root_0_0_0,-1,14,"['satellite data', 'satellite big data', 'single satellite', 'Planet database', 'Earth Observation datasets', 'earth observation', 'earth', 'Copernicus mission satellite', 'big geo data', 'big data', 'subsampled orthophoto', 'high spatial resolution', 'GEE publication', 'Earth Engine platform']",14,"[8, 78, 90, 93, 96, 135, 161, 226, 285, 301, 317, 347, 405, 463]",0.8803000000000001,5,5,10
2,root_0_0_0,0,13,"['satellite imagery', 'IKONOS satellite imagery', 'satellite image need', 'satellite image fusion', 'satellite image', 'resolution satellite image', 'resolution aerial imagery', 'Pléiades satellite image', 'street view image', 'Sentinel image', 'supervoxels', 'high resolution earth', 'different street object']",28,"[8, 59, 72, 92, 106, 120, 153, 158, 169, 171, 175, 193, 230, 231, 234, 314, 333, 347, 361, 405, 458, 469, 496, 507, 528, 531, 565, 569]",0.8803000000000001,5,5,10
2,root_0_0_0,1,10,"['aerial imagery', 'aerial image dataset', 'aerial image', 'unmanned aerial vehicle', 'UAV image', 'aerial orthophotos', 'aerial building dataset', 'UAV photogrammetry', 'UAV datasets', 'drone']",12,"[11, 128, 141, 183, 188, 237, 282, 303, 314, 444, 525, 548]",0.8803000000000001,5,5,10
