Group,score,NumPhrases,Key-phrases,NumDocs,DocIds,dimension,min_samples,min_cluster_size,x,y
1,0.7795871851363878,11,"['agglomerative clustering', 'density estimation', 'inner area strategy', 'latent manifold', 'neighbourhood densification', 'positioning accuracy', 'self organising map', 'sourced urban data and machine learning algorithms', 'spatial analysis and machine learning', 'spatial lag term', 'spatial plan']",10,"[1, 21, 33, 58, 68, 88, 166, 173, 205, 246]",50,2,11,"[6.380000114440918, 6.489999771118164, 6.559999942779541, 6.550000190734863, 6.420000076293945, 6.480000019073486, 6.449999809265137, 6.409999847412109, 6.429999828338623, 6.440000057220459, 6.340000152587891]","[6.570000171661377, 6.389999866485596, 6.460000038146973, 6.369999885559082, 6.360000133514404, 6.349999904632568, 6.289999961853027, 6.510000228881836, 6.480000019073486, 6.190000057220459, 6.550000190734863]"
2,0.6338113860331986,19,"['building structure', 'City factor', 'city pattern image', 'cognitive city', 'complex urban environment', 'comprehensive urban soundscape evaluation', 'German residential area', 'graffiti and restaurant', 'housing unit', 'Metropolitan Manila', 'military operation', 'nearby crime and violence', 'relevant socioeconomic variable', 'typical urban coverage condition', 'unstructured mesh', 'urban area', 'urban environment', 'urban morphological difference', 'urban waterlogging']",17,"[1, 12, 21, 36, 53, 56, 58, 68, 109, 112, 121, 148, 246, 369, 386, 399, 564]",28,2,19,"[3.049999952316284, 2.9100000858306885, 3.1600000858306885, 2.940000057220459, 2.8299999237060547, 3.130000114440918, 2.9700000286102295, 2.690000057220459, 2.9800000190734863, 2.740000009536743, 3.009999990463257, 3.2899999618530273, 2.740000009536743, 3.0799999237060547, 2.990000009536743, 3.0, 2.5799999237060547, 2.869999885559082, 2.9100000858306885]","[3.0399999618530273, 2.990000009536743, 3.1700000762939453, 2.940000057220459, 3.2799999713897705, 3.0399999618530273, 3.130000114440918, 3.0799999237060547, 2.819999933242798, 3.109999895095825, 2.9600000381469727, 3.069999933242798, 3.2300000190734863, 3.190000057220459, 3.049999952316284, 3.069999933242798, 3.1500000953674316, 2.990000009536743, 3.2300000190734863]"
3,0.5975767071018425,19,"['architect and designer', 'classical urban design theory', 'greenway planning', 'intercity corporate network', 'nexus governance debate', 'regional policy evaluation study', 'researcher and city developer', 'sustainable city leverage datadriven planning technology', 'sustainable urban development and Internet', 'sustainable urbanisation strategy', 'urban and smart city development', 'urban planning', 'urban planning and climate resilience', 'urban planning and crowd surveillance', 'urban planning and land readjustment policy', 'urban planning and management', 'urban planning authority', 'urban transport planning', 'water and basin governance']",17,"[21, 36, 58, 61, 68, 88, 109, 150, 166, 173, 199, 205, 250, 414, 564, 568, 580]",28,2,19,"[2.240000009536743, 2.450000047683716, 2.75, 2.809999942779541, 2.5199999809265137, 2.509999990463257, 2.559999942779541, 2.619999885559082, 2.7100000381469727, 2.3399999141693115, 2.190000057220459, 2.109999895095825, 2.319999933242798, 2.5, 2.5799999237060547, 2.609999895095825, 2.5799999237060547, 2.450000047683716, 2.630000114440918]","[3.2100000381469727, 3.25, 3.0899999141693115, 3.0899999141693115, 3.25, 3.0799999237060547, 3.1600000858306885, 3.3399999141693115, 3.180000066757202, 3.2899999618530273, 3.109999895095825, 3.2200000286102295, 3.180000066757202, 3.359999895095825, 3.190000057220459, 3.049999952316284, 3.1500000953674316, 3.0299999713897705, 3.0199999809265137]"
4,0.5950731747967817,8,"['climate pressure', 'connectedness and scale', 'geographical information system', 'geographical space and territory', 'geospatial simulation framework', 'landscape and climate variable', 'OpenStreetMap data', 'urban environment influence stress']",8,"[21, 33, 56, 68, 166, 173, 205, 399]",28,2,19,"[2.6500000953674316, 2.9200000762939453, 2.359999895095825, 2.430000066757202, 2.3499999046325684, 2.390000104904175, 2.369999885559082, 2.5]","[2.990000009536743, 3.3399999141693115, 3.3499999046325684, 3.190000057220459, 3.390000104904175, 3.130000114440918, 3.069999933242798, 3.190000057220459]"
5,0.5942053475184341,16,"['Decision Tree', 'ensemble learning approach', 'image descriptor', 'Naive Bayes', 'Naïve Bayes', 'naïve Bayes classifier', 'Principal component analysis', 'Proper Orthogonal Decomposition', 'random forest', 'random forest algorithm', 'random forest MLA', 'supervised archetype classification', 'Support vector machine SVM', 'support vector regression', 'SVM model', 'synthetic minority']",16,"[33, 36, 53, 56, 64, 68, 88, 109, 112, 332, 369, 386, 564, 566, 568, 580]",14,2,16,"[7.320000171661377, 7.210000038146973, 7.760000228881836, 7.639999866485596, 7.429999828338623, 7.300000190734863, 7.260000228881836, 7.460000038146973, 7.460000038146973, 7.460000038146973, 7.289999961853027, 7.239999771118164, 7.210000038146973, 7.389999866485596, 7.309999942779541, 7.409999847412109]","[7.789999961853027, 7.78000020980835, 8.0, 7.690000057220459, 7.760000228881836, 7.539999961853027, 7.71999979019165, 7.820000171661377, 7.449999809265137, 7.800000190734863, 8.039999961853027, 7.639999866485596, 7.940000057220459, 7.639999866485596, 7.960000038146973, 7.730000019073486]"
6,0.5532830649176316,30,"['AI system', 'constructive preference elicitation task', 'conventional counting', 'conventional statistical modeling approach', 'conversational demand', 'creative computing approach', 'criteria nature', 'design preference', 'hot spot analysis', 'Human Computer Interaction', 'Intelligent Tutoring Systems', 'knowledge spillover', 'mathematical fusion model', 'mobile application', 'natural language processing approach', 'novel computational linguistics method', 'novel natural language processing component', 'online educational game', 'order modelling', 'party collaborative chat', 'personality classification task', 'player and mentor', 'reference framework', 'several processing system', 'short time analysis', 'smart specialization', 'social network analysis', 'standardized and open ML pipeline', 'Support Systems', 'urgent challenge']",19,"[56, 88, 112, 121, 148, 166, 173, 199, 246, 250, 369, 386, 399, 414, 558, 566, 568, 580, 581]",14,2,16,"[7.349999904632568, 7.139999866485596, 7.400000095367432, 7.03000020980835, 7.46999979019165, 7.5, 7.159999847412109, 7.409999847412109, 7.090000152587891, 7.349999904632568, 7.679999828338623, 7.199999809265137, 7.420000076293945, 7.670000076293945, 7.119999885559082, 7.440000057220459, 7.170000076293945, 7.179999828338623, 7.53000020980835, 7.420000076293945, 7.539999961853027, 7.590000152587891, 7.369999885559082, 7.320000171661377, 7.489999771118164, 7.519999980926514, 7.510000228881836, 7.510000228881836, 7.550000190734863, 7.300000190734863]","[8.050000190734863, 7.739999771118164, 7.599999904632568, 7.679999828338623, 8.390000343322754, 8.420000076293945, 7.860000133514404, 8.210000038146973, 7.679999828338623, 7.730000019073486, 7.769999980926514, 8.0, 8.289999961853027, 7.760000228881836, 8.010000228881836, 8.279999732971191, 7.829999923706055, 8.039999961853027, 7.559999942779541, 8.210000038146973, 8.109999656677246, 7.96999979019165, 7.940000057220459, 7.539999961853027, 7.710000038146973, 7.929999828338623, 7.679999828338623, 7.849999904632568, 8.100000381469727, 7.880000114440918]"
7,0.33746442448944297,14,"['active ageing', 'audio descriptor', 'chat conversation', 'energy and food', 'flow', 'human environment', 'Livelihood orientation', 'motor vehicle', 'serious game', 'soundscape classification', 'speaker', 'structure and material', 'urban sound recognition performance', 'visual element']",11,"[12, 33, 53, 61, 199, 250, 369, 558, 564, 566, 580]",50,2,11,"[6.369999885559082, 6.329999923706055, 6.329999923706055, 6.25, 6.239999771118164, 6.239999771118164, 6.159999847412109, 6.230000019073486, 6.449999809265137, 6.440000057220459, 6.409999847412109, 6.480000019073486, 6.369999885559082, 6.369999885559082]","[6.269999980926514, 6.139999866485596, 6.309999942779541, 6.21999979019165, 6.139999866485596, 6.179999828338623, 6.119999885559082, 6.239999771118164, 6.25, 6.300000190734863, 6.269999980926514, 6.300000190734863, 6.239999771118164, 6.25]"
8,0.26746236102596854,14,"['BeiDou and Galileo satellite navigation system', 'big data', 'big data application', 'citizen science data', 'cognitive smart city', 'crowd analysis benchmark datasets', 'expensive and laborious traffic count', 'false alarm rate', 'GNSS signal', 'intelligent transportation', 'IoT service', 'theft rate', 'Unmanned Aircraft Systems', 'year microblogging data']",10,"[12, 36, 109, 112, 121, 150, 246, 332, 369, 568]",50,2,11,"[6.349999904632568, 6.199999809265137, 6.349999904632568, 6.260000228881836, 6.260000228881836, 6.380000114440918, 6.369999885559082, 6.369999885559082, 6.360000133514404, 6.320000171661377, 6.150000095367432, 6.099999904632568, 6.28000020980835, 6.320000171661377]","[6.440000057220459, 6.110000133514404, 6.010000228881836, 6.019999980926514, 5.989999771118164, 6.230000019073486, 6.110000133514404, 6.5, 6.5, 6.21999979019165, 6.199999809265137, 6.159999847412109, 6.059999942779541, 6.309999942779541]"
9,0.061021412003648565,16,"['Deep Learning', 'deep reinforcement learning', 'DT and AdaBoost', 'intelligent decision support system', 'interpolation method', 'intrusion detection method', 'KNN algorithm', 'LSTM SAE', 'Machine learning', 'Machine learning model', 'machine learning technique', 'personality classification method', 'popular ML algorithms', 'recurrent neural network', 'Sequential Minimal Optimization', 'Things sensor']",14,"[1, 53, 58, 61, 64, 88, 112, 121, 150, 250, 332, 399, 564, 566]",14,2,16,"[7.349999904632568, 7.139999866485596, 7.559999942779541, 7.360000133514404, 7.369999885559082, 7.659999847412109, 7.409999847412109, 7.590000152587891, 7.420000076293945, 7.360000133514404, 7.460000038146973, 7.610000133514404, 7.619999885559082, 7.300000190734863, 7.239999771118164, 7.320000171661377]","[8.489999771118164, 7.809999942779541, 8.420000076293945, 7.28000020980835, 7.78000020980835, 8.25, 7.570000171661377, 8.279999732971191, 7.550000190734863, 8.09000015258789, 8.380000114440918, 8.09000015258789, 8.210000038146973, 7.699999809265137, 7.78000020980835, 7.690000057220459]"
10,-0.22325993182528542,15,"['air pollution quality prediction', 'demand matrix', 'destination accessibility', 'effective mosquito control', 'Electricity theft', 'ethnic heterogeneity and employment', 'furniture arrangement', 'Large Eddy Simulation', 'Layout synthesis', 'mosquito occurrence', 'scenario simulation', 'systematic literature review', 'Systematics Literature Review', 'Unanticipated wind gust', 'understanding research priority']",14,"[1, 12, 36, 56, 61, 64, 109, 121, 148, 166, 199, 205, 386, 414]",50,2,11,"[6.159999847412109, 6.309999942779541, 6.300000190734863, 6.190000057220459, 6.21999979019165, 6.400000095367432, 6.119999885559082, 6.21999979019165, 6.25, 6.150000095367432, 6.159999847412109, 6.170000076293945, 6.320000171661377, 6.340000152587891, 6.260000228881836]","[6.070000171661377, 6.289999961853027, 6.300000190734863, 6.300000190734863, 6.300000190734863, 6.21999979019165, 6.199999809265137, 6.239999771118164, 6.369999885559082, 6.159999847412109, 6.199999809265137, 6.170000076293945, 6.389999866485596, 6.409999847412109, 6.409999847412109]"
