group,count,key-phrases,NumDocs,DocIds
-1,13,"['land use planning', 'land use policy', 'hierarchical farmland protection', 'land management', 'integrated tourism planning', 'tourism planning', 'domain ontology', 'integrated tourism', 'ontology', 'GIS application', 'Many GIS application', 'GIS application need', 'semantic web']",7,"[131, 160, 216, 294, 306, 596, 599]"
0,6,"['land change science', 'land change', 'land use change', 'land use conversion', 'future land change', 'land use evolution']",7,"[29, 104, 131, 143, 155, 160, 595]"
1,7,"['artificial neural network', 'neural network', 'reasoning layer', 'neural network model', 'deep reinforcement', 'deep reinforcement learning', 'reinforcement learning']",4,"[235, 403, 426, 552]"
2,7,"['Cellular automata', 'cellular automaton', 'automatic simulation model', 'simulation model generation', 'simulation model', 'computer simulation', 'material modeling operation']",5,"[9, 29, 104, 306, 590]"
3,7,"['expert system prototype', 'expert system', 'use expert system', 'use expert', 'expert system approach', 'naïve Bayes classifier', 'fuzzy expert system']",6,"[34, 48, 183, 322, 429, 599]"
4,9,"['artificial immune system', 'AI system', 'AI technique', 'robotic system', 'Artificial intelligence technology', 'AI technology', 'artificial intelligence approach', 'artificial intelligence', 'big data intelligence']",7,"[9, 23, 34, 293, 322, 509, 552]"
5,21,"['urban agglomeration development', 'urban land dynamic', 'urban land', 'urban transition rule', 'accelerated urbanization process', 'new urban growth', 'urban growth zone', 'urban growth', 'urban land use', 'residential land growth', 'Urbanization process', 'urbanizing area', 'urban dynamic process', 'urbanization', 'urban growth model', 'urban land growth', 'novel urban growth', 'Analyze urbanization process', 'Analyze urbanization', 'complex urban space', 'metropolitan land use']",15,"[9, 23, 50, 75, 104, 131, 143, 155, 160, 244, 293, 306, 456, 594, 595]"
6,6,"['predicted urban expansion', 'urban expansion process', 'urban expansion result', 'urban expansion', 'urban expansion pattern', 'balance urban expansion']",3,"[50, 75, 155]"
7,11,"['urban simulation', 'urban information system', 'land growth simulation', 'intelligence urban model', 'urban system', 'Maharashtra government', 'central government', 'urban system management', 'effective urban system', 'urban growth simulation', 'urban warfare operation']",8,"[9, 48, 131, 244, 274, 426, 456, 552]"
8,16,"['urban planning', 'improved urban planning', 'urban planning problem', 'urban suitability index', 'effective urban planning', 'construction sector', 'urban plan', 'urban development', 'urban design', 'urban planning management', 'urban planning reform', 'urban planning field', 'census ward', 'Beppu census ward', 'GIS problem solving', 'GIS problem']",16,"[29, 48, 75, 104, 143, 183, 235, 274, 293, 306, 322, 426, 509, 583, 595, 596]"
9,8,"['land dynamic', 'land use pattern', 'dynamic land use', 'Land use data', 'crime forecasting', 'crime data', 'urban data', 'geospatial data']",4,"[23, 104, 143, 241]"
10,6,"['collusion occurrence', 'collusion occurrence probability', 'terrorist attack prediction', 'attack prediction system', 'attack prediction', 'terroristic attack']",2,"[235, 403]"
11,11,"['intelligent information system', 'information system', 'intelligent decision support', 'decision support system', 'intelligent decision making', 'decision support', 'clustering', 'Feature selection', 'data mining', 'data mining tool', 'similarity information maintenance']",6,"[48, 241, 429, 583, 595, 599]"
12,8,"['development plan', 'human planning', 'scenario planning', 'different human planning', 'traditional scenario planning', 'planning theory', 'workflow management system', 'workflow management']",4,"[274, 294, 322, 599]"
